,location,total_sqft,bath,price,bhk
70,6th Phase JP Nagar,2003.0,3.0,200.0,3
71,6th Phase JP Nagar,1810.0,3.0,131.0,3
72,6th Phase JP Nagar,1515.0,2.0,135.0,3
73,6th Phase JP Nagar,1192.0,2.0,75.0,2
74,6th Phase JP Nagar,1280.0,2.0,88.0,2
75,7th Phase JP Nagar,1080.0,2.0,72.0,2
76,7th Phase JP Nagar,1270.0,2.0,93.0,2
77,7th Phase JP Nagar,1420.0,2.0,100.0,3
78,7th Phase JP Nagar,1850.0,3.0,150.0,3
79,7th Phase JP Nagar,1245.0,2.0,94.0,2
80,7th Phase JP Nagar,1175.0,2.0,82.0,2
81,7th Phase JP Nagar,1400.0,2.0,95.0,3
82,7th Phase JP Nagar,2225.0,3.0,160.0,3
83,7th Phase JP Nagar,1050.0,2.0,71.0,2
84,7th Phase JP Nagar,918.0,2.0,50.49,2
85,7th Phase JP Nagar,1450.0,2.0,100.0,3
86,7th Phase JP Nagar,1420.0,2.0,96.0,3
87,7th Phase JP Nagar,1680.0,3.0,120.0,3
88,7th Phase JP Nagar,980.0,2.0,69.0,2
89,7th Phase JP Nagar,1180.0,2.0,72.0,2
90,7th Phase JP Nagar,5080.0,7.0,450.0,6
91,7th Phase JP Nagar,1400.0,3.0,115.0,3
92,7th Phase JP Nagar,1270.0,2.0,83.0,2
93,7th Phase JP Nagar,2503.0,4.0,188.0,4
94,7th Phase JP Nagar,2200.0,3.0,190.0,3
95,7th Phase JP Nagar,1575.0,2.0,110.0,3
96,7th Phase JP Nagar,1850.0,3.0,140.0,3
97,7th Phase JP Nagar,1575.0,2.0,120.0,3
98,7th Phase JP Nagar,1850.0,3.0,150.0,3
99,7th Phase JP Nagar,1680.0,3.0,120.0,3
100,7th Phase JP Nagar,1175.0,2.0,82.5,2
101,7th Phase JP Nagar,1215.0,2.0,90.0,2
102,7th Phase JP Nagar,1050.0,2.0,75.0,2
103,7th Phase JP Nagar,1300.0,3.0,89.13,3
104,7th Phase JP Nagar,1130.0,2.0,73.0,2
105,7th Phase JP Nagar,1450.0,3.0,100.0,3
106,7th Phase JP Nagar,1050.0,2.0,50.0,2
107,7th Phase JP Nagar,1275.0,2.0,87.0,2
108,7th Phase JP Nagar,1650.0,3.0,110.0,3
109,7th Phase JP Nagar,850.0,2.0,42.0,2
110,7th Phase JP Nagar,1680.0,3.0,117.0,3
111,7th Phase JP Nagar,1850.0,3.0,150.0,3
112,7th Phase JP Nagar,1236.0,2.0,61.33,2
113,7th Phase JP Nagar,1000.0,2.0,53.0,2
114,7th Phase JP Nagar,1680.0,3.0,125.0,3
115,7th Phase JP Nagar,1675.0,2.0,135.0,3
116,7th Phase JP Nagar,1187.0,2.0,59.0,2
117,7th Phase JP Nagar,1850.0,3.0,155.0,3
118,7th Phase JP Nagar,1000.0,2.0,61.0,2
119,7th Phase JP Nagar,1460.0,2.0,100.0,3
120,7th Phase JP Nagar,1650.0,3.0,110.0,3
121,7th Phase JP Nagar,1200.0,2.0,62.5,2
122,7th Phase JP Nagar,1000.0,2.0,70.65,2
123,7th Phase JP Nagar,1080.0,2.0,75.0,2
124,7th Phase JP Nagar,1680.0,3.0,125.0,3
125,7th Phase JP Nagar,1460.0,2.0,97.0,3
126,7th Phase JP Nagar,1120.0,2.0,65.0,2
127,7th Phase JP Nagar,1100.0,3.0,60.0,2
128,7th Phase JP Nagar,1790.0,3.0,120.0,3
129,7th Phase JP Nagar,1680.0,3.0,117.0,3
130,7th Phase JP Nagar,1050.0,2.0,77.0,2
131,7th Phase JP Nagar,1050.0,2.0,75.0,2
132,7th Phase JP Nagar,1040.0,2.0,75.0,2
133,7th Phase JP Nagar,1400.0,2.0,95.0,3
134,7th Phase JP Nagar,1800.0,3.0,130.0,3
135,7th Phase JP Nagar,1050.0,2.0,68.0,2
136,7th Phase JP Nagar,1000.0,2.0,60.0,2
137,7th Phase JP Nagar,1680.0,3.0,125.0,3
138,7th Phase JP Nagar,980.0,2.0,86.0,2
139,7th Phase JP Nagar,1050.0,2.0,77.47,2
140,7th Phase JP Nagar,1270.0,2.0,80.0,2
141,7th Phase JP Nagar,1680.0,3.0,122.0,3
142,7th Phase JP Nagar,1130.0,2.0,85.0,2
143,7th Phase JP Nagar,1680.0,3.0,130.0,3
144,7th Phase JP Nagar,2980.0,4.0,260.0,3
145,7th Phase JP Nagar,980.0,2.0,77.44,2
146,7th Phase JP Nagar,1680.0,3.0,112.0,3
147,7th Phase JP Nagar,2095.0,3.0,150.0,3
148,7th Phase JP Nagar,1976.0,3.0,145.0,3
149,7th Phase JP Nagar,1600.0,2.0,110.0,3
150,7th Phase JP Nagar,1765.0,3.0,118.0,3
151,7th Phase JP Nagar,1275.0,2.0,88.0,3
152,7th Phase JP Nagar,1450.0,2.0,102.0,3
153,7th Phase JP Nagar,1575.0,2.0,110.0,3
154,7th Phase JP Nagar,750.0,1.0,47.0,1
155,7th Phase JP Nagar,990.0,2.0,50.0,2
156,7th Phase JP Nagar,1000.0,1.0,60.0,1
157,7th Phase JP Nagar,1430.0,2.0,102.0,3
158,7th Phase JP Nagar,1128.0,2.0,60.0,2
159,7th Phase JP Nagar,2100.0,3.0,190.0,3
160,7th Phase JP Nagar,1140.0,2.0,57.0,2
161,7th Phase JP Nagar,1420.0,3.0,90.0,3
162,7th Phase JP Nagar,1530.0,2.0,108.0,2
163,8th Phase JP Nagar,1594.0,2.0,54.005,2
164,8th Phase JP Nagar,451.0,1.0,29.9,1
165,8th Phase JP Nagar,1062.0,2.0,42.47,2
166,8th Phase JP Nagar,1455.0,3.0,73.31,3
167,8th Phase JP Nagar,871.0,2.0,55.0,2
168,8th Phase JP Nagar,1098.0,2.0,43.91,2
169,8th Phase JP Nagar,1800.0,3.0,80.0,3
170,8th Phase JP Nagar,2700.0,4.0,130.0,4
171,8th Phase JP Nagar,1080.0,2.0,38.0,2
172,8th Phase JP Nagar,1059.0,2.0,34.5,2
173,8th Phase JP Nagar,1080.0,2.0,35.0,2
174,8th Phase JP Nagar,1062.0,2.0,42.47,2
175,8th Phase JP Nagar,500.0,1.0,31.0,1
176,8th Phase JP Nagar,1100.0,2.0,35.0,2
177,8th Phase JP Nagar,2100.0,4.0,92.0,4
178,8th Phase JP Nagar,1035.0,2.0,39.33,2
179,8th Phase JP Nagar,909.0,2.0,40.9,2
180,8th Phase JP Nagar,1900.0,4.0,90.0,3
181,8th Phase JP Nagar,500.0,1.0,30.0,1
182,8th Phase JP Nagar,1125.0,2.0,36.94,2
183,8th Phase JP Nagar,1100.0,2.0,35.0,2
184,8th Phase JP Nagar,1089.0,2.0,43.55,2
185,8th Phase JP Nagar,1504.0,2.0,83.0,3
186,8th Phase JP Nagar,2600.0,4.0,115.0,4
187,8th Phase JP Nagar,1089.0,2.0,43.55,2
188,8th Phase JP Nagar,1513.0,2.0,62.0,2
189,8th Phase JP Nagar,1298.0,2.0,59.0,2
190,8th Phase JP Nagar,1006.0,2.0,44.0,2
191,8th Phase JP Nagar,500.0,1.0,33.0,1
192,8th Phase JP Nagar,1245.0,2.0,59.0,2
193,8th Phase JP Nagar,1510.0,2.0,80.0,2
194,8th Phase JP Nagar,3300.0,3.0,165.0,3
195,8th Phase JP Nagar,1046.0,2.0,48.0,2
196,8th Phase JP Nagar,1408.0,3.0,80.0,3
197,9th Phase JP Nagar,1005.0,2.0,50.0,2
198,9th Phase JP Nagar,1100.0,2.0,65.0,2
199,9th Phase JP Nagar,1035.0,2.0,45.0,2
200,9th Phase JP Nagar,5000.0,4.0,290.0,4
201,9th Phase JP Nagar,1164.0,2.0,56.0,2
202,9th Phase JP Nagar,1005.0,2.0,42.0,2
203,9th Phase JP Nagar,1127.0,2.0,50.0,2
204,9th Phase JP Nagar,1005.0,2.0,43.0,2
205,9th Phase JP Nagar,835.0,2.0,37.0,2
206,9th Phase JP Nagar,1466.0,2.0,71.0,2
207,9th Phase JP Nagar,1890.0,2.0,93.0,3
208,9th Phase JP Nagar,1079.0,2.0,60.0,2
209,9th Phase JP Nagar,1480.0,2.0,80.0,2
210,9th Phase JP Nagar,1073.0,2.0,52.36,2
211,9th Phase JP Nagar,1719.3,2.0,88.0,3
212,9th Phase JP Nagar,1780.0,3.0,88.0,3
213,9th Phase JP Nagar,1522.0,3.0,90.0,3
214,9th Phase JP Nagar,890.0,2.0,45.0,2
215,9th Phase JP Nagar,5000.0,4.0,300.0,4
216,9th Phase JP Nagar,1331.95,2.0,69.0,2
217,AECS Layout,1199.0,2.0,65.0,2
218,AECS Layout,1080.0,2.0,55.0,2
219,AECS Layout,1123.0,2.0,64.0,2
220,AECS Layout,1308.0,2.0,60.0,2
221,AECS Layout,1005.0,2.0,55.0,2
222,Abbigere,985.0,2.0,40.39,2
223,Abbigere,765.0,2.0,30.0,1
224,Abbigere,880.0,2.0,35.0,2
225,Abbigere,795.0,2.0,32.54,2
226,Abbigere,1005.0,2.0,39.59,2
227,Abbigere,1020.0,2.0,41.82,2
228,Abbigere,985.0,2.0,40.39,2
229,Abbigere,795.0,2.0,32.54,2
230,Abbigere,1130.0,2.0,46.33,2
231,Abbigere,795.0,1.0,32.6,2
232,Abbigere,985.0,2.0,38.92,2
233,Abbigere,1000.0,2.0,41.0,2
234,Abbigere,995.0,2.0,40.8,2
235,Abbigere,1020.0,2.0,40.8,2
236,Akshaya Nagar,1388.0,2.0,57.0,2
237,Akshaya Nagar,1070.0,2.0,54.0,2
238,Akshaya Nagar,1280.0,2.0,58.0,2
239,Akshaya Nagar,1662.0,3.0,85.1,3
240,Akshaya Nagar,1897.0,3.0,120.0,3
241,Akshaya Nagar,1410.0,2.0,75.0,3
242,Akshaya Nagar,1360.0,2.0,85.0,3
243,Akshaya Nagar,1410.0,2.0,80.0,3
244,Akshaya Nagar,1662.0,3.0,85.0,3
245,Akshaya Nagar,1662.0,3.0,85.5,3
246,Akshaya Nagar,1280.0,2.0,60.0,2
247,Akshaya Nagar,1666.0,3.0,95.0,3
248,Akshaya Nagar,1575.0,3.0,90.0,3
249,Akshaya Nagar,1430.0,2.0,75.0,3
250,Akshaya Nagar,1419.0,2.0,73.0,3
251,Akshaya Nagar,1280.0,2.0,60.0,2
252,Akshaya Nagar,1200.0,2.0,50.0,2
253,Akshaya Nagar,1092.0,2.0,60.0,2
254,Akshaya Nagar,1690.0,3.0,85.0,3
255,Akshaya Nagar,1700.0,3.0,80.0,3
256,Akshaya Nagar,1897.0,4.0,93.0,3
257,Akshaya Nagar,1884.0,3.0,98.0,3
258,Akshaya Nagar,1314.0,2.0,68.8,2
259,Akshaya Nagar,1690.0,3.0,85.0,3
260,Akshaya Nagar,1265.0,2.0,67.0,2
261,Akshaya Nagar,1126.0,2.0,55.0,2
262,Akshaya Nagar,1662.0,3.0,90.0,3
263,Akshaya Nagar,1420.0,2.0,75.0,3
264,Akshaya Nagar,1412.0,2.0,88.0,3
265,Akshaya Nagar,1434.0,3.0,84.0,3
266,Akshaya Nagar,1890.0,4.0,100.0,3
267,Akshaya Nagar,2650.0,3.0,125.0,3
268,Akshaya Nagar,1419.0,2.0,87.0,3
269,Akshaya Nagar,1300.0,2.0,54.0,2
270,Akshaya Nagar,1690.0,3.0,85.0,3
271,Akshaya Nagar,1113.0,2.0,52.0,2
272,Akshaya Nagar,1820.0,4.0,95.0,3
273,Akshaya Nagar,1100.0,2.0,48.0,2
274,Akshaya Nagar,1896.0,3.0,102.0,3
275,Akshaya Nagar,1300.0,2.0,66.0,2
276,Akshaya Nagar,1225.0,2.0,68.0,2
277,Akshaya Nagar,1179.0,2.0,51.0,2
278,Akshaya Nagar,1421.0,2.0,73.0,3
279,Akshaya Nagar,1893.0,4.0,95.0,3
280,Akshaya Nagar,900.0,2.0,45.0,2
281,Ambalipura,1105.0,2.0,75.0,2
282,Ambalipura,1800.0,3.0,110.0,3
283,Ambalipura,1150.0,2.0,80.0,2
284,Ambalipura,1250.0,2.0,66.25,2
285,Ambalipura,1332.0,2.0,79.0,2
286,Ambalipura,1730.0,3.0,120.0,3
287,Ambalipura,3500.0,3.0,198.0,3
288,Ambalipura,1230.0,2.0,66.25,2
289,Ambalipura,1351.0,2.0,77.0,2
290,Ambalipura,1817.0,3.0,102.0,3
291,Ambalipura,1303.0,2.0,80.0,2
292,Ambalipura,1607.0,2.0,112.0,3
293,Ambalipura,770.0,1.0,43.82,1
294,Ambalipura,1700.0,2.0,76.0,2
295,Ambalipura,1060.0,2.0,58.5,2
296,Ambalipura,1650.0,3.0,100.0,3
297,Ambalipura,1607.0,2.0,112.0,3
298,Ambalipura,1198.0,2.0,80.0,2
299,Ambedkar Nagar,1935.0,4.0,130.0,3
300,Ambedkar Nagar,1424.0,2.0,90.0,2
301,Ambedkar Nagar,2225.0,4.0,169.0,3
302,Ambedkar Nagar,1862.0,3.0,120.0,3
303,Ambedkar Nagar,1850.0,4.0,139.0,3
304,Ambedkar Nagar,1936.0,4.0,126.0,3
305,Ambedkar Nagar,1862.0,3.0,119.0,3
306,Ambedkar Nagar,1424.0,2.0,90.0,2
307,Ambedkar Nagar,2150.0,4.0,125.0,3
308,Ambedkar Nagar,3530.0,4.0,290.0,4
309,Ambedkar Nagar,1856.0,3.0,120.0,3
310,Ambedkar Nagar,1852.0,3.0,130.0,3
311,Ambedkar Nagar,1850.0,4.0,120.0,3
312,Ambedkar Nagar,1367.0,2.0,86.0,2
313,Ambedkar Nagar,3565.0,4.0,255.0,4
314,Ambedkar Nagar,1409.0,2.0,95.0,2
315,Ambedkar Nagar,1950.0,4.0,120.0,3
316,Ambedkar Nagar,1921.0,4.0,129.0,3
317,Ambedkar Nagar,1920.0,4.0,121.0,3
318,Ambedkar Nagar,1935.0,4.0,125.0,3
319,Ambedkar Nagar,1852.0,4.0,122.0,3
320,Ambedkar Nagar,1950.0,4.0,120.0,3
321,Ambedkar Nagar,1852.0,3.0,125.0,3
322,Ambedkar Nagar,1850.0,4.0,121.0,3
323,Ambedkar Nagar,1425.0,2.0,94.0,2
324,Ambedkar Nagar,2395.0,4.0,150.0,3
325,Amruthahalli,900.0,2.0,40.0,2
326,Amruthahalli,1200.0,2.0,55.0,2
327,Amruthahalli,1900.0,3.0,135.0,3
328,Amruthahalli,924.0,2.0,45.0,2
329,Amruthahalli,900.0,2.0,60.0,2
330,Amruthahalli,1100.0,2.0,45.0,2
331,Amruthahalli,1200.0,2.0,55.0,2
332,Amruthahalli,1450.0,2.0,85.0,3
333,Amruthahalli,1200.0,2.0,55.0,2
334,Amruthahalli,1250.0,2.0,79.0,2
335,Amruthahalli,1190.0,2.0,50.0,2
336,Amruthahalli,1202.0,2.0,65.0,2
337,Amruthahalli,1340.0,2.0,75.0,2
338,Amruthahalli,2650.0,4.0,175.0,3
339,Amruthahalli,1450.0,2.0,90.0,3
340,Amruthahalli,1025.0,2.0,42.0,2
341,Amruthahalli,485.0,1.0,19.5,1
342,Amruthahalli,600.0,1.0,55.0,1
343,Anandapura,1167.0,2.0,43.76,2
344,Anandapura,1000.0,2.0,55.0,2
345,Anandapura,1141.0,2.0,42.79,2
346,Anandapura,1200.0,2.0,67.0,2
347,Anandapura,1200.0,2.0,58.0,2
348,Anandapura,1151.0,2.0,43.1,2
349,Anandapura,1141.0,2.0,42.75,2
350,Anandapura,900.0,2.0,48.0,2
351,Anandapura,1749.0,4.0,90.0,4
352,Anandapura,1151.0,2.0,42.9,2
353,Anandapura,1151.0,2.0,43.16,2
354,Anandapura,1200.0,2.0,58.0,2
355,Anandapura,1200.0,2.0,66.0,3
356,Anandapura,1415.0,2.0,74.0,3
357,Anandapura,1200.0,2.0,50.0,2
358,Anandapura,1141.0,2.0,50.0,2
359,Ananth Nagar,500.0,1.0,14.0,1
360,Ananth Nagar,1100.0,2.0,31.5,2
361,Ananth Nagar,982.0,2.0,24.55,2
362,Ananth Nagar,500.0,2.0,14.0,1
363,Ananth Nagar,900.0,2.0,22.5,2
364,Ananth Nagar,908.0,2.0,26.0,2
365,Ananth Nagar,937.0,2.0,35.0,2
366,Ananth Nagar,960.0,2.0,37.0,2
367,Ananth Nagar,500.0,1.0,14.0,1
368,Ananth Nagar,1000.0,2.0,29.7,2
369,Ananth Nagar,850.0,2.0,25.99,2
370,Ananth Nagar,902.0,2.0,25.26,2
371,Ananth Nagar,1470.0,3.0,54.0,3
372,Ananth Nagar,810.0,2.0,25.5,2
373,Ananth Nagar,890.0,2.0,27.0,2
374,Ananth Nagar,1200.0,2.0,36.0,2
375,Ananth Nagar,1319.0,3.0,42.0,3
376,Ananth Nagar,1000.0,2.0,25.0,2
377,Ananth Nagar,902.0,2.0,25.0,2
378,Ananth Nagar,930.0,2.0,25.99,2
379,Ananth Nagar,1074.0,2.0,26.85,2
380,Ananth Nagar,500.0,1.0,14.0,1
381,Ananth Nagar,1010.0,2.0,38.0,2
382,Ananth Nagar,992.0,2.0,24.8,2
383,Anekal,925.0,2.0,40.0,2
384,Anekal,530.0,1.0,18.0,1
385,Anekal,1800.0,3.0,68.0,3
386,Anekal,351.0,1.0,16.0,1
387,Anekal,1035.0,2.0,38.3,2
388,Anekal,888.0,2.0,34.0,2
389,Anekal,766.0,2.0,28.0,2
390,Anekal,1150.0,3.0,45.0,3
391,Anekal,456.0,1.0,15.0,1
392,Anekal,2400.0,4.0,95.0,3
393,Anekal,420.0,1.0,12.5,1
394,Anekal,1140.0,2.0,52.0,2
395,Anjanapura,1070.0,2.0,39.0,2
396,Anjanapura,1500.0,3.0,121.0,3
397,Anjanapura,1070.0,2.0,37.0,2
398,Anjanapura,950.0,2.0,40.0,2
399,Anjanapura,1280.0,2.0,45.0,3
400,Anjanapura,710.0,2.0,25.0,2
401,Anjanapura,950.0,2.0,32.0,2
402,Anjanapura,1843.0,3.0,87.54,3
403,Anjanapura,1076.0,2.0,30.13,2
404,Anjanapura,950.0,2.0,30.0,2
405,Ardendale,1750.0,3.0,100.0,3
406,Ardendale,3198.0,4.0,200.0,4
407,Ardendale,2422.0,4.0,160.0,4
408,Ardendale,1750.0,3.0,100.0,3
409,Ardendale,3200.0,4.0,205.0,4
410,Ardendale,1728.0,3.0,95.0,3
411,Ardendale,2062.0,3.0,140.0,4
412,Ardendale,1732.46,3.0,92.0,3
413,Ardendale,2062.0,3.0,150.0,4
414,Ardendale,1224.0,2.0,70.0,2
415,Ardendale,1777.26,3.0,105.0,3
416,Ardendale,1650.0,3.0,82.0,3
417,Ardendale,2062.0,3.0,140.0,4
418,Ardendale,1650.0,3.0,82.0,3
419,Ardendale,1224.0,2.0,67.0,2
420,Ardendale,1723.0,3.0,95.0,3
421,Ardendale,1777.26,3.0,89.0,3
422,Ardendale,1777.26,3.0,92.0,3
423,Arekere,2060.0,3.0,140.0,3
424,Arekere,920.0,2.0,40.0,2
425,Arekere,1740.0,2.0,95.0,3
426,Arekere,1190.0,2.0,55.0,2
427,Arekere,600.0,1.0,28.0,1
428,Arekere,2072.0,3.0,108.0,3
429,Arekere,1100.0,2.0,55.0,2
430,Arekere,900.0,2.0,50.0,2
431,Arekere,1240.0,2.0,60.0,2
432,Arekere,900.0,2.0,44.5,2
433,Attibele,450.0,1.0,11.0,1
434,Attibele,400.0,1.0,11.0,1
435,Attibele,400.0,1.0,12.0,1
436,Attibele,400.0,1.0,14.0,1
437,Attibele,500.0,1.0,17.0,1
438,Attibele,395.0,1.0,10.25,1
439,Attibele,420.0,1.0,17.0,1
440,Attibele,418.0,1.0,12.0,1
441,Attibele,1350.0,3.0,85.0,3
442,Attibele,1200.0,2.0,42.0,2
443,Attibele,400.0,1.0,10.0,1
444,Attibele,850.0,1.0,25.0,2
445,Attibele,2400.0,3.0,120.0,3
446,Attibele,450.0,1.0,12.5,1
447,Attibele,782.0,1.0,19.55,1
448,Attibele,400.0,1.0,11.5,1
449,Attibele,460.0,1.0,13.0,1
450,Attibele,418.0,2.0,11.5,1
451,Attibele,1000.0,2.0,42.0,2
452,Attibele,550.0,1.0,11.5,1
453,Attibele,410.0,1.0,10.0,1
454,Attibele,1700.0,3.0,65.0,3
455,Attibele,400.0,1.0,10.25,1
456,Attibele,1500.0,3.0,90.0,3
457,Attibele,520.0,1.0,15.0,1
458,BEML Layout,1060.0,2.0,55.0,2
459,BEML Layout,999.0,2.0,45.0,2
460,BEML Layout,2400.0,4.0,225.0,5
461,BEML Layout,1194.0,2.0,65.0,2
462,BEML Layout,1200.0,2.0,67.0,2
463,BEML Layout,2400.0,2.0,228.0,2
464,BEML Layout,1194.0,2.0,65.0,2
465,BTM 2nd Stage,1260.0,5.0,185.0,3
466,BTM 2nd Stage,950.0,2.0,52.0,2
467,BTM 2nd Stage,1850.0,3.0,170.0,3
468,BTM 2nd Stage,1200.0,2.0,80.0,2
469,BTM 2nd Stage,1274.0,2.0,70.0,2
470,BTM 2nd Stage,1070.0,2.0,48.0,2
471,BTM 2nd Stage,1280.0,2.0,80.0,2
472,BTM 2nd Stage,1100.0,2.0,70.0,2
473,BTM 2nd Stage,1000.0,2.0,58.0,2
474,BTM 2nd Stage,2990.0,5.0,416.0,5
475,BTM 2nd Stage,1265.0,2.0,55.0,2
476,BTM 2nd Stage,2200.0,3.0,220.0,3
477,BTM 2nd Stage,2780.0,4.0,325.0,3
478,BTM 2nd Stage,2400.0,2.0,360.0,3
479,BTM 2nd Stage,965.0,2.0,56.0,2
480,BTM 2nd Stage,1147.0,2.0,75.0,2
481,BTM 2nd Stage,1750.0,3.0,172.0,3
482,BTM 2nd Stage,1400.0,2.0,90.0,2
483,BTM 2nd Stage,1200.0,2.0,70.0,2
484,BTM 2nd Stage,1100.0,2.0,47.0,2
485,BTM 2nd Stage,930.0,2.0,46.0,2
486,BTM 2nd Stage,2500.0,3.0,345.0,3
487,BTM Layout,1150.0,2.0,63.0,2
488,BTM Layout,3300.0,6.0,165.0,6
489,BTM Layout,1450.0,2.0,81.0,3
490,BTM Layout,1776.0,2.0,75.0,3
491,BTM Layout,1458.0,3.0,79.0,3
492,BTM Layout,935.0,2.0,51.5,2
493,BTM Layout,1020.0,2.0,46.5,2
494,BTM Layout,1600.0,3.0,112.0,3
495,BTM Layout,1300.0,2.0,75.0,3
496,BTM Layout,1540.0,2.0,78.0,3
497,BTM Layout,450.0,1.0,20.0,1
498,BTM Layout,1196.0,2.0,56.81,2
499,BTM Layout,1470.0,2.0,99.0,3
500,Babusapalaya,1675.0,3.0,75.0,3
501,Babusapalaya,1141.0,2.0,46.0,2
502,Babusapalaya,1084.0,2.0,58.0,2
503,Babusapalaya,1500.0,2.0,57.0,2
504,Babusapalaya,1050.0,2.0,45.0,2
505,Babusapalaya,1141.0,2.0,45.9,2
506,Babusapalaya,1105.0,2.0,40.0,2
507,Babusapalaya,1410.0,2.0,65.0,3
508,Babusapalaya,1305.0,2.0,70.0,2
509,Babusapalaya,1450.0,2.0,55.99,2
510,Babusapalaya,1100.0,2.0,38.0,2
511,Babusapalaya,1061.0,2.0,33.84,2
512,Babusapalaya,1061.0,2.0,38.95,2
513,Babusapalaya,1061.0,2.0,34.0,2
514,Babusapalaya,1245.0,2.0,58.0,2
515,Badavala Nagar,1494.0,2.0,94.55,3
516,Badavala Nagar,1274.0,2.0,81.0,2
517,Badavala Nagar,1842.0,3.0,115.0,3
518,Badavala Nagar,1494.0,2.0,94.55,3
519,Badavala Nagar,1274.0,2.0,81.0,2
520,Badavala Nagar,1494.0,2.0,94.55,3
521,Badavala Nagar,1842.0,3.0,115.0,3
522,Badavala Nagar,1842.0,3.0,115.0,3
523,Badavala Nagar,1842.0,3.0,115.0,3
524,Balagere,1210.0,2.0,80.9,2
525,Balagere,1210.0,2.0,72.0,2
526,Balagere,1205.0,2.0,78.5,2
527,Balagere,1020.07,2.0,68.38,2
